samples	condition
10_rep1	control
10_rep2	control
10_rep3	control
10_rep4	control
10_rep5	control
10_rep6	control
10_rep7	control
10_rep8	control
11_rep1	control
11_rep2	control
11_rep3	control
11_rep4	control
11_rep5	control
11_rep6	control
11_rep7	control
11_rep8	control
19_rep1	control
19_rep2	control
19_rep3	control
19_rep4	control
19_rep5	control
19_rep6	control
19_rep7	control
19_rep8	control
20_rep1	control
20_rep2	control
20_rep3	control
20_rep4	control
20_rep5	control
20_rep6	control
20_rep7	control
20_rep8	control
33_rep1	control
33_rep2	control
33_rep3	control
33_rep4	control
33_rep5	control
33_rep6	control
33_rep7	control
33_rep8	control
34_rep1	control
34_rep2	control
34_rep3	control
34_rep4	control
34_rep5	control
34_rep6	control
34_rep7	control
34_rep8	control
12_rep1	ZIKV
12_rep2	ZIKV
12_rep3	ZIKV
12_rep4	ZIKV
12_rep5	ZIKV
12_rep6	ZIKV
12_rep7	ZIKV
12_rep8	ZIKV
24_rep1	ZIKV
24_rep2	ZIKV
24_rep3	ZIKV
24_rep4	ZIKV
24_rep5	ZIKV
24_rep6	ZIKV
24_rep7	ZIKV
24_rep8	ZIKV
36_rep1	ZIKV
36_rep2	ZIKV
36_rep3	ZIKV
36_rep4	ZIKV
36_rep5	ZIKV
36_rep6	ZIKV
36_rep7	ZIKV
36_rep8	ZIKV
48_rep1	ZIKV
48_rep2	ZIKV
48_rep3	ZIKV
48_rep4	ZIKV
48_rep5	ZIKV
48_rep6	ZIKV
48_rep7	ZIKV
48_rep8	ZIKV
07_rep1	GBS-rec
07_rep2	GBS-rec
07_rep3	GBS-rec
07_rep4	GBS-rec
07_rep5	GBS-rec
07_rep6	GBS-rec
07_rep7	GBS-rec
07_rep8	GBS-rec
08_rep1	GBS-rec
08_rep2	GBS-rec
08_rep3	GBS-rec
08_rep4	GBS-rec
08_rep5	GBS-rec
08_rep6	GBS-rec
08_rep7	GBS-rec
08_rep8	GBS-rec
09_rep1	GBS-rec
09_rep2	GBS-rec
09_rep3	GBS-rec
09_rep4	GBS-rec
09_rep5	GBS-rec
09_rep6	GBS-rec
09_rep7	GBS-rec
09_rep8	GBS-rec
16_rep1	GBS-rec
16_rep2	GBS-rec
16_rep3	GBS-rec
16_rep4	GBS-rec
16_rep5	GBS-rec
16_rep6	GBS-rec
16_rep7	GBS-rec
16_rep8	GBS-rec
27_rep1	GBS-rec
27_rep2	GBS-rec
27_rep3	GBS-rec
27_rep4	GBS-rec
27_rep5	GBS-rec
27_rep6	GBS-rec
27_rep7	GBS-rec
27_rep8	GBS-rec
28_rep1	GBS-rec
28_rep2	GBS-rec
28_rep3	GBS-rec
28_rep4	GBS-rec
28_rep5	GBS-rec
28_rep6	GBS-rec
28_rep7	GBS-rec
28_rep8	GBS-rec
30_rep1	GBS-rec
30_rep2	GBS-rec
30_rep3	GBS-rec
30_rep4	GBS-rec
30_rep5	GBS-rec
30_rep6	GBS-rec
30_rep7	GBS-rec
30_rep8	GBS-rec
38_rep1	GBS-rec
38_rep2	GBS-rec
38_rep3	GBS-rec
38_rep4	GBS-rec
38_rep5	GBS-rec
38_rep6	GBS-rec
38_rep7	GBS-rec
38_rep8	GBS-rec
39_rep1	GBS-rec
39_rep2	GBS-rec
39_rep3	GBS-rec
39_rep4	GBS-rec
39_rep5	GBS-rec
39_rep6	GBS-rec
39_rep7	GBS-rec
39_rep8	GBS-rec
