pop	center	sample
CONTROL	IMT	10_rep1
CONTROL	IMT	10_rep2
CONTROL	IMT	10_rep3
CONTROL	IMT	10_rep4
CONTROL	IMT	10_rep5
CONTROL	IMT	10_rep6
CONTROL	IMT	10_rep7
CONTROL	IMT	10_rep8
CONTROL	IMT	11_rep1
CONTROL	IMT	11_rep2
CONTROL	IMT	11_rep3
CONTROL	IMT	11_rep4
CONTROL	IMT	11_rep5
CONTROL	IMT	11_rep6
CONTROL	IMT	11_rep7
CONTROL	IMT	11_rep8
CONTROL	IMT	19_rep1
CONTROL	IMT	19_rep2
CONTROL	IMT	19_rep3
CONTROL	IMT	19_rep4
CONTROL	IMT	19_rep5
CONTROL	IMT	19_rep6
CONTROL	IMT	19_rep7
CONTROL	IMT	19_rep8
CONTROL	IMT	20_rep1
CONTROL	IMT	20_rep2
CONTROL	IMT	20_rep3
CONTROL	IMT	20_rep4
CONTROL	IMT	20_rep5
CONTROL	IMT	20_rep6
CONTROL	IMT	20_rep7
CONTROL	IMT	20_rep8
CONTROL	IMT	33_rep1
CONTROL	IMT	33_rep2
CONTROL	IMT	33_rep3
CONTROL	IMT	33_rep4
CONTROL	IMT	33_rep5
CONTROL	IMT	33_rep6
CONTROL	IMT	33_rep7
CONTROL	IMT	33_rep8
CONTROL	IMT	34_rep1
CONTROL	IMT	34_rep2
CONTROL	IMT	34_rep3
CONTROL	IMT	34_rep4
CONTROL	IMT	34_rep5
CONTROL	IMT	34_rep6
CONTROL	IMT	34_rep7
CONTROL	IMT	34_rep8
ZIKV	IMT	12_rep1
ZIKV	IMT	12_rep2
ZIKV	IMT	12_rep3
ZIKV	IMT	12_rep4
ZIKV	IMT	12_rep5
ZIKV	IMT	12_rep6
ZIKV	IMT	12_rep7
ZIKV	IMT	12_rep8
ZIKV	IMT	24_rep1
ZIKV	IMT	24_rep2
ZIKV	IMT	24_rep3
ZIKV	IMT	24_rep4
ZIKV	IMT	24_rep5
ZIKV	IMT	24_rep6
ZIKV	IMT	24_rep7
ZIKV	IMT	24_rep8
ZIKV	IMT	36_rep1
ZIKV	IMT	36_rep2
ZIKV	IMT	36_rep3
ZIKV	IMT	36_rep4
ZIKV	IMT	36_rep5
ZIKV	IMT	36_rep6
ZIKV	IMT	36_rep7
ZIKV	IMT	36_rep8
ZIKV	IMT	48_rep1
ZIKV	IMT	48_rep2
ZIKV	IMT	48_rep3
ZIKV	IMT	48_rep4
ZIKV	IMT	48_rep5
ZIKV	IMT	48_rep6
ZIKV	IMT	48_rep7
ZIKV	IMT	48_rep8
GBS	IMT	1_rep1
GBS	IMT	1_rep2
GBS	IMT	1_rep3
GBS	IMT	1_rep4
